type,parent,name,color (leave blank to inherit from parent),content,DE,EN,Thumbnail URL,Location,Date,Licence,Text DE,Text EN
text,chapter1.1,item1.1.1,,,Kapitel 1.1 - Inhalt 1,Chapter 1.1 - Content Item 1,,,,,"Das ist ein text file. Kann langen Text haben. Auch Line Breaks.

Und ""DOUBLE, "" Quotes"" , hehe. Over.","This is a text file.
It may contain multiline text. It may contain commas, such as every other field.

However, it may not contain double quotes. Please just don't use them. Thanks bro."
game,chapter1.1,item1.1.2,,,Kapitel 1.1 - Inhalt 2,Chapter 1.1 - Content Item 2,,,,,,
image,chapter1.1,item1.1.3,,https://drive.google.com/open?id=18hqpGJ9Hs04CAM5WKcEuhvrveYHj2lXk&authuser=m@neu.io&usp=drive_fs,Kapitel 1.1 - Inhalt 3,Chapter 1.1 - Content Item 3,,Berlin,1492,MIT,,
video,chapter1.1,item1.1.4,,https://neu.io/_nuxt/videos/01d8700.mp4,Kapitel 1.1 - Inhalt 4,Chapter 1.1 - Content Item 4,https://a.wattpad.com/useravatar/docodoc2.256.523017.jpg,Vienna,1849,Creative Commons,,
image,chapter1.1,item1.1.5,,https://drive.google.com/open?id=18hqpGJ9Hs04CAM5WKcEuhvrveYHj2lXk,Kapitel 1.1 - Inhalt 5,Chapter 1.1 - Content Item 5,,Amsterdam,2883 - 3001,CC Attribution-ShareAlike,,
image,chapter1.1,item1.1.6,,https://drive.google.com/open?id=18mx7n8L89dkTfw1EoZwnv-ZYVD9WmtvY,Kapitel 1.1 - Inhalt 6,Chapter 1.1 - Content Item 6,,Berlin,2206,CC Attribution-NonCommercial-NoDerivs,,
image,chapter1.1,item1.1.7,,https://neu.io/project-detail/wsup-1.png,Kapitel 1.1 - Inhalt 7,Chapter 1.1 - Content Item 7,,Vienna,2563,MIT,,
ar,chapter1.1,item1.1.8,,Giebelwand,Kapitel 1.1 - Inhalt 8,Chapter 1.1 - Content Item 8,,Amsterdam,2884 - 3001,Creative Commons,,
ar,chapter1.1,item1.1.9,,Chamber,Kapitel 1.1 - Inhalt 9,Chapter 1.1 - Content Item 9,,Berlin,2920,CC Attribution-ShareAlike,,
ar,chapter1.1,item1.1.10,,Giebelwand,Kapitel 1.1 - Inhalt 10,Chapter 1.1 - Content Item 10,,Vienna,3277,CC Attribution-NonCommercial-NoDerivs,,
,,,,,,,,,,,,
ar,chapter1.2,item1.2.1,,Chamber,Kapitel 1.2 Inhalt 1,Chapter 1.2 Content Item 1,,Vienna,2563,Creative Commons,,
image,chapter1.2,item1.2.2,,https://neu.io/project-detail/humboldt-3.png,Kapitel 1.2 Inhalt 2,Chapter 1.2 Content Item 2,,Amsterdam,2884 - 3001,CC Attribution-ShareAlike,,
image,chapter1.2,item1.2.3,,https://neu.io/project-detail/humboldt-4.png,Kapitel 1.2 Inhalt 3,Chapter 1.2 Content Item 3,,Berlin,2920,CC Attribution-NonCommercial-NoDerivs,,
image,chapter1.2,item1.2.4,,https://neu.io/project-detail/humboldt-6.png,Kapitel 1.2 Inhalt 4,Chapter 1.2 Content Item 4,,Vienna,3277,MIT,,
image,chapter1.2,item1.2.5,,https://neu.io/project-detail/humboldt-7.png,Kapitel 1.2 Inhalt 5,Chapter 1.2 Content Item 5,,Amsterdam,2885 - 3001,Creative Commons,,
ar,chapter1.2,item1.2.6,,Giebelwand,Kapitel 1.2 Inhalt 6,Chapter 1.2 Content Item 6,,Berlin,3634,CC Attribution-ShareAlike,,
image,chapter1.2,item1.2.7,,https://neu.io/project-detail/wsup-1.png,Kapitel 1.2 Inhalt 7,Chapter 1.2 Content Item 7,,Vienna,3991,CC Attribution-NonCommercial-NoDerivs,,
image,chapter1.2,item1.2.8,,https://neu.io/project-detail/wsup-1.png,Kapitel 1.2 Inhalt 8,Chapter 1.2 Content Item 8,,Berlin,2920,MIT,,
,,,,,,,,,,,,
image,chapter1.3,item1.3.1,,https://neu.io/project-detail/mfn-birds-07.jpg,Kapitel 1.3 - Inhalt 1,Chapter 1.3 - Content Item 1,,Amsterdam,2885 - 3001,CC Attribution-ShareAlike,,
image,chapter1.3,item1.3.2,,https://neu.io/project-detail/mfn-birds-08.jpg,Kapitel 1.3 - Inhalt 2,Chapter 1.3 - Content Item 2,,Berlin,3634,CC Attribution-NonCommercial-NoDerivs,,
image,chapter1.3,item1.3.3,,https://neu.io/project-detail/mfn-birds-09.jpg,Kapitel 1.3 - Inhalt 3,Chapter 1.3 - Content Item 3,,Vienna,3991,MIT,,
image,chapter1.3,item1.3.4,,https://neu.io/project-detail/mfn-birds-11.jpg,Kapitel 1.3 - Inhalt 4,Chapter 1.3 - Content Item 4,,Amsterdam,2886 - 3001,Creative Commons,,
image,chapter1.3,item1.3.5,,https://neu.io/project-detail/mfn-birds-12.jpg,Kapitel 1.3 - Inhalt 5,Chapter 1.3 - Content Item 5,,Berlin,4348,CC Attribution-ShareAlike,,
image,chapter1.3,item1.3.6,,https://neu.io/project-detail/mfn-birds-13.jpg,Kapitel 1.3 - Inhalt 6,Chapter 1.3 - Content Item 6,,Vienna,4705,CC Attribution-NonCommercial-NoDerivs,,
image,chapter1.3,item1.3.7,,https://neu.io/project-detail/mfn-birds-14.jpg,Kapitel 1.3 - Inhalt 7,Chapter 1.3 - Content Item 7,,Berlin,3634,MIT,,
image,chapter1.3,item1.3.8,,https://neu.io/project-detail/mfn-birds-15.jpg,Kapitel 1.3 - Inhalt 8,Chapter 1.3 - Content Item 8,,Vienna,3991,Creative Commons,,
,,,,,,,,,,,,
image,chapter2.1,item2.1.1,,https://neu.io/project-detail/wsup-1.png,Inhalt 1,Content Item 1,,Berlin,4348,CC Attribution-NonCommercial-NoDerivs,,
image,chapter2.1,item2.1.2,,https://neu.io/project-detail/wsup-1.png,Inhalt 2,Content Item 2,,Vienna,4705,MIT,,
image,chapter2.1,item2.1.3,,https://neu.io/project-detail/wsup-1.png,Inhalt 3,Content Item 3,,Amsterdam,2887 - 3001,Creative Commons,,
image,chapter2.1,item2.1.4,,https://neu.io/project-detail/wsup-1.png,Inhalt 4,Content Item 4,,Berlin,5062,CC Attribution-ShareAlike,,
image,chapter2.1,item2.1.5,,https://neu.io/project-detail/wsup-1.png,Inhalt 5,Content Item 5,,Vienna,5419,CC Attribution-NonCommercial-NoDerivs,,
ar,chapter2.1,item2.1.6,,Giebelwand,Inhalt 6,Content Item 6,,Berlin,4348,MIT,,
image,chapter2.1,item2.1.7,,https://neu.io/project-detail/wsup-1.png,Inhalt 7,Content Item 7,,Vienna,4705,Creative Commons,,
image,chapter2.1,item2.1.8,,https://neu.io/project-detail/wsup-1.png,Inhalt 8,Content Item 8,,Amsterdam,2887 - 3001,CC Attribution-ShareAlike,,
,,,,,,,,,,,,
image,chapter2.2,item2.2.1,,https://neu.io/project-detail/wsup-1.png,Inhalt 1,Content Item 1,,Vienna,5419,MIT,,
image,chapter2.2,item2.2.2,,https://neu.io/project-detail/wsup-1.png,Inhalt 2,Content Item 2,,Amsterdam,2888 - 3001,Creative Commons,,
image,chapter2.2,item2.2.3,,https://neu.io/project-detail/wsup-1.png,Inhalt 3,Content Item 3,,Berlin,5776,CC Attribution-ShareAlike,,
image,chapter2.2,item2.2.4,,https://neu.io/project-detail/wsup-1.png,Inhalt 4,Content Item 4,,Vienna,6133,CC Attribution-NonCommercial-NoDerivs,,
image,chapter2.2,item2.2.5,,https://neu.io/project-detail/wsup-1.png,Inhalt 5,Content Item 5,,Berlin,5062,MIT,,
ar,chapter2.2,item2.2.6,,Giebelwand,Inhalt 6,Content Item 6,,Vienna,5419,Creative Commons,,
image,chapter2.2,item2.2.7,,https://neu.io/project-detail/wsup-1.png,Inhalt 7,Content Item 7,,Amsterdam,2888 - 3001,CC Attribution-ShareAlike,,
image,chapter2.2,item2.2.8,,https://neu.io/project-detail/wsup-1.png,Inhalt 8,Content Item 8,,Berlin,5776,CC Attribution-NonCommercial-NoDerivs,,
,,,,,,,,,,,,
image,chapter3.1,item3.1.1,,https://neu.io/project-detail/wsup-1.png,Inhalt 1,Content Item 1,,Amsterdam,2889 - 3001,Creative Commons,,
image,chapter3.1,item3.1.2,,https://neu.io/project-detail/wsup-1.png,Inhalt 2,Content Item 2,,Berlin,6490,CC Attribution-ShareAlike,,
image,chapter3.1,item3.1.3,,https://neu.io/project-detail/wsup-1.png,Inhalt 3,Content Item 3,,Vienna,6847,CC Attribution-NonCommercial-NoDerivs,,
image,chapter3.1,item3.1.4,,https://neu.io/project-detail/wsup-1.png,Inhalt 4,Content Item 4,,Berlin,5776,MIT,,
image,chapter3.1,item3.1.5,,https://neu.io/project-detail/wsup-1.png,Inhalt 5,Content Item 5,,Vienna,6133,Creative Commons,,
ar,chapter3.1,item3.1.6,,Giebelwand,Inhalt 6,Content Item 6,,Amsterdam,2889 - 3001,CC Attribution-ShareAlike,,
image,chapter3.1,item3.1.7,,https://neu.io/project-detail/wsup-1.png,Inhalt 7,Content Item 7,,Berlin,6490,CC Attribution-NonCommercial-NoDerivs,,
image,chapter3.1,item3.1.8,,https://neu.io/project-detail/wsup-1.png,Inhalt 8,Content Item 8,,Vienna,6847,MIT,,
,,,,,,,,,,,,
image,chapter3.2,item3.2.1,,https://neu.io/project-detail/wsup-1.png,Inhalt 1,Content Item 1,,Berlin,7204,CC Attribution-ShareAlike,,
image,chapter3.2,item3.2.2,,https://neu.io/project-detail/wsup-1.png,Inhalt 2,Content Item 2,,Vienna,7561,CC Attribution-NonCommercial-NoDerivs,,
